
2022/03/09 (11:19:27) | ===> btop++ v.1.2.3
2022/03/09 (11:19:27) | ERROR: Stall in Runner thread, restarting!

2022/03/10 (10:54:41) | ===> btop++ v.1.2.3
2022/03/10 (10:54:41) | ERROR: Stall in Runner thread, restarting!

2022/03/10 (12:11:54) | ===> btop++ v.1.2.3
2022/03/10 (12:11:54) | ERROR: Stall in Runner thread, restarting!

2022/03/11 (22:33:08) | ===> btop++ v.1.2.3
2022/03/11 (22:33:08) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (22:36:57) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (22:37:43) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (22:37:50) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (22:50:58) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (22:51:05) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (23:02:54) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (23:21:26) | ERROR: Stall in Runner thread, restarting!
2022/03/11 (23:34:24) | ERROR: Stall in Runner thread, restarting!
2022/03/12 (02:29:43) | ERROR: Stall in Runner thread, restarting!
2022/03/12 (02:55:01) | ERROR: Stall in Runner thread, restarting!
2022/03/12 (05:45:54) | ERROR: Stall in Runner thread, restarting!
2022/03/12 (08:28:37) | ERROR: Stall in Runner thread, restarting!

2022/03/25 (14:01:45) | ===> btop++ v.1.2.3
2022/03/25 (14:01:45) | ERROR: Stall in Runner thread, restarting!

2022/03/28 (10:47:22) | ===> btop++ v.1.2.3
2022/03/28 (10:47:22) | ERROR: Stall in Runner thread, restarting!
2022/03/28 (13:57:56) | ERROR: Stall in Runner thread, restarting!

2022/03/30 (11:29:49) | ===> btop++ v.1.2.3
2022/03/30 (11:29:49) | ERROR: Stall in Runner thread, restarting!

2022/04/08 (08:50:25) | ===> btop++ v.1.2.3
2022/04/08 (08:50:25) | ERROR: Stall in Runner thread, restarting!
2022/04/08 (08:54:54) | WARNING: Failed to join _runner thread on exit!

2022/04/08 (10:45:28) | ===> btop++ v.1.2.3
2022/04/08 (10:45:28) | ERROR: Stall in Runner thread, restarting!

2022/04/08 (13:05:51) | ===> btop++ v.1.2.3
2022/04/08 (13:05:51) | ERROR: Stall in Runner thread, restarting!

2022/04/09 (14:07:19) | ===> btop++ v.1.2.3
2022/04/09 (14:07:19) | ERROR: Stall in Runner thread, restarting!
